	formula	previous	latest	status
1	a5	20141120	20160825	Updated
2	abyss	1.9.0	2.0.2	Updated
3	abyss-explorer	1.3.4	1.3.41	Updated
4	adam	 	0.22.0	Added
5	adapterremoval	 	2.2.1a	Added
6	afra	 	2.1	Added
7	amos	3.1.0	3.1.01	Updated
8	andi	0.9.2	0.101	Updated
9	apache-spark	 	2.1.1	Added
10	aragorn	 	1.2.36	Added
11	arcs	 	1.0.0	Added
12	armadillo	 	7.950.1	Added
13	arpack	 	3.5.0	Added
14	art	031915	20160605	Updated
15	astral	4.7.8	4.10.7	Updated
16	atram	 	1.042	Added
17	augustus	 	3.2.22	Added
18	bam-readcount	0.7.4	0.8.0	Updated
19	bamm	 	2.5.0	Added
20	bamtools	2.4.0	2.4.1	Updated
21	barrnap	0.7	0.8	Updated
22	bbtools	 	37.02	Added
23	bcalm	2	2.0.0	Updated
24	bcftools	1.2	1.4.1	Updated
25	beagle	 	2.1.2	Added
26	beast	1.8.2	1.8.4	Updated
27	beast2	 	2.4.5	Added
28	bedops	2.4.14	2.4.26	Updated
29	bedtools	 	2.26.0	Added
30	beetl	 	0.10.0	Added
31	berkeley-db	 	6.2.23	Added
32	berkeley-db-4	 	4.8.30	Added
33	bfc	175	181	Updated
34	biobloomtools	2.0.12	2.0.131	Updated
35	biomake	 	0.1.1	Added
36	biopieces	 	2.0	Added
37	blast	2.2.311	2.6.01	Updated
38	blat	35	36	Updated
39	bless	 	0.242	Added
40	boost	1.60.01	1.64.01	Updated
41	bowtie	1.1.2	1.2.0	Updated
42	bowtie2	2.2	2.3.2	Updated
43	bpipe	0.9.8.7	0.9.9.3	Updated
44	breseq	 	0.30.0	Added
45	busco	 	1.221	Added
46	bwa	0.7.12	0.7.15	Updated
47	cairo	1.14.21	1.14.8	Updated
48	canu	 	1.5	Added
49	capnp	 	0.6.0	Added
50	cd-hit	4.6.4	4.6.6	Updated
51	cegma	 	2.5	Added
52	centrifuge	 	1.0.3-beta	Added
53	circlator	 	1.5.1	Added
54	clark	 	1.2.3	Added
55	clonalframeml	1.7	1.11	Updated
56	clonehd	 	1.17.9	Added
57	cmake	3.5.0	3.8.2	Updated
58	cpanminus	1.7039	1.7043	Updated
59	cufflinks	2.2.1	2.2.11	Updated
60	curl	7.48.0	7.54.0	Updated
61	cytoscape	3.2.1	3.4.0	Updated
62	dextractor	 	1.04	Added
63	diamond	0.7.9	0.9.6	Updated
64	dida	1.0.1	1.0.11	Updated
65	discovar	 	52488	Added
66	dsk	2.0.7	2.1.0	Updated
67	dwgsim	 	0.1.12	Added
68	edirect	 	6.00.20170109	Added
69	eigen	3.2.8	3.3.3	Updated
70	emacs	 	25.2	Added
71	emboss	 	6.6.0	Added
72	expat	2.1.01	2.2.0	Updated
73	express	 	1.5.15	Added
74	fastml	3.1	3.11	Updated
75	fastqc	0.11.3	0.11.5	Updated
76	fastx_toolkit	 	0.0.141	Added
77	fermi-lite	 	0.1	Added
78	flex	2.5.39	2.6.4	Updated
79	fontconfig	2.11.1	2.12.3	Updated
80	freebayes	 	1.1.0	Added
81	freec	7.2	10.6	Updated
82	freetype	2.6.3	2.8	Updated
83	fwdpp	 	0.5.5	Added
84	gatb	1.0.7	1.1.0	Updated
85	gatk	 	3.6	Added
86	gd	2.1.1	2.2.41	Updated
87	gdbm	1.11	1.13	Updated
88	geneid	 	1.4.4	Added
89	genewise	 	2.4.11	Added
90	genometools	1.5.6	1.5.9	Updated
91	gettext	0.19.6	0.19.8.1	Updated
92	ghostscript	 	9.211	Added
93	glib	2.46.0	2.52.2	Updated
94	glpk	 	4.62	Added
95	gmap-gsnap	2014-05-15	2017-01-14	Updated
96	gmp	6.1.0	6.1.1	Updated
97	gnuplot	5.0.1	5.0.6	Updated
98	gobject-introspection	1.46.0	1.52.1	Updated
99	gperftools	 	2.51	Added
100	graphlan	 	1.0	Added
101	gsl	1.16	2.3	Updated
102	harfbuzz	1.0.4	1.4.6	Updated
103	hdf5	1.8.16	1.10.1	Updated
104	hisat2	2.0.0	2.0.5	Updated
105	hlaminer	1.1.0	1.3.1	Updated
106	hmmer	3.1b2	3.1b21	Updated
107	htslib	1.2.1	1.4.11	Updated
108	icu4c	55.1	58.2	Updated
109	idba	1.1.1	1.1.3	Updated
110	igraph	 	0.7.13	Added
111	igv	2.3.57	2.3.94	Updated
112	igvtools	2.3.48	2.3.94	Updated
113	imagemagick	 	7.0.6-0	Added
114	impute2	 	2.3.2	Added
115	infernal	1.1.1	1.1.2	Updated
116	inputproto	2.3.1	2.3.2	Updated
117	iqtree	 	1.5.5	Added
118	iva	 	1.0.8	Added
119	jdk	1.8.0-102	1.8.0-112	Updated
120	jellyfish	2.1.4	2.2.6	Updated
121	kaiju	 	1.5.0	Added
122	kallisto	0.42.4	0.43.11	Updated
123	kat	1.0.7	2.3.4	Updated
124	kent-tools	 	339	Added
125	kmacs	 	20140605	Added
126	kmc	2.1.1	3.0.1	Updated
127	kmergenie	 	1.69761	Added
128	kmerstream	 	1.11	Added
129	kollector	 	1.0	Added
130	kraken	 	0.10.5-beta	Added
131	last	581	752	Updated
132	libbigwig	 	0.3.3	Added
133	libdivsufsort	2.0.1	 	Removed
134	libedit	 	20170329-3.1	Added
135	libevent	2.0.22	2.1.8	Updated
136	libffi	3.0.13	3.2.1	Updated
137	libidn	1.32	1.33	Updated
138	libmagic	5.25	5.31	Updated
139	libmpc	1.0.3	1.0.31	Updated
140	libpll	 	1.0.11	Added
141	libpng	1.6.18	1.6.29	Updated
142	libpthread-stubs	 	0.3	Added
143	libsequence	1.8.4	1.9.1	Updated
144	libtiff	4.0.6	4.0.8	Updated
145	libtool	2.4.6	2.4.62	Updated
146	libunwind	 	1.2	Added
147	libx11	1.6.3	1.6.5	Updated
148	libxcb	1.11.1	1.12	Updated
149	libxfixes	5.0.1	5.0.3	Updated
150	libxfont	1.5.1	1.5.2	Updated
151	libxi	1.7.6	1.7.9	Updated
152	libxml2	2.9.2	2.9.43	Updated
153	libxpm	3.5.11	3.5.12	Updated
154	libxrandr	1.5.0	1.5.1	Updated
155	libxrender	0.9.9	0.9.10	Updated
156	libxtst	1.2.2	1.2.3	Updated
157	libxv	1.0.10	1.0.11	Updated
158	libxvmc	1.0.9	1.0.10	Updated
159	libyaml	 	0.1.7	Added
160	lighter	1.0.7	1.1.1	Updated
161	links-scaffolder	 	1.8.4	Added
162	little-cms2	 	2.8	Added
163	lobstr	 	4.0.62	Added
164	lp_solve	 	5.5.2.0	Added
165	lsd	 	0.3b	Added
166	lua	5.2.41	5.2.45	Updated
167	lumpy-sv	0.2.11	0.2.13	Updated
168	m4	1.4.17	1.4.18	Updated
169	macse	 	1.2	Added
170	mafft	7.221	7.305	Updated
171	maker	2.31.8	2.31.9	Updated
172	mapsembler2	 	2.2.4	Added
173	mash	 	1.1.11	Added
174	masurca	2.3.2b	 	Removed
175	matplotlib	 	2.0.2	Added
176	maven	 	3.5.0	Added
177	mcl	 	14-137	Added
178	megahit	1.0.2	1.1.1	Updated
179	meme	4.10.1	4.11.2.21	Updated
180	meraculous	2.0.4	 	Removed
181	mercurial	 	4.2.1	Added
182	mhap	1.5b1	2.1.1	Updated
183	miller	 	5.1.0	Added
184	minced	0.1.6	0.2.0	Updated
185	minia	1.6906	2.0.7	Updated
186	miniasm	 	0.2	Added
187	minimap	 	0.2	Added
188	mir-prefer	 	0.241	Added
189	mlst	1.3	2.8	Updated
190	mothur	 	1.39.5	Added
191	mpfr	3.1.4	3.1.5	Updated
192	mrbayes	3.2.5	3.2.6	Updated
193	mummer	3.23	3.232	Updated
194	muscle	3.8.31	3.8.1551	Updated
195	mysql	 	5.7.181	Added
196	nanopolish	 	0.6.0	Added
197	ncurses	6.0	6.03	Updated
198	newicktools	 	0.1	Added
199	nextflow	0.16.1	0.24.4	Updated
200	nlopt	 	2.4.22	Added
201	nonpareil	 	2.4.011	Added
202	ntcard	 	1.0.0	Added
203	numpy	1.10.1	1.13.0	Updated
204	nxtrim	0.3.0	0.4.2	Updated
205	oma	 	2.1.1	Added
206	open-mpi	1.10.0	2.1.1	Updated
207	openblas	0.2.182	0.2.191	Updated
208	openssl	1.0.2d1	1.0.2l	Updated
209	openssl-1.1	 	1.1.0f	Added
210	orthofinder	 	1.1.8	Added
211	paml	 	4.9e	Added
212	pandaseq	2.8.1	2.11	Updated
213	pango	1.38.1	1.40.6	Updated
214	parallel	20150922	20170522	Updated
215	patchelf	0.9	0.91	Updated
216	pathvisio	3.2.1	3.2.4	Updated
217	pbsuite	14.7.14	 	Removed
218	pcre	8.37	8.40	Updated
219	pear	0.9.6	0.9.10	Updated
220	perl	 	5.24.1	Added
221	perl518	5.18.2	 	Removed
222	phlawd	 	3.4a2	Added
223	phyml	20120412	3.2.0	Updated
224	phyx	 	0.991	Added
225	picard-tools	1.128	2.9.0	Updated
226	piler	 	1.01	Added
227	pilercr	 	1.06	Added
228	pilon	1.13	1.22	Updated
229	pixman	0.32.8	0.34.0	Updated
230	pkg-config	0.28	0.29.2	Updated
231	plink	 	1.07	Added
232	prokka	 	1.12	Added
233	proteinortho	 	5.15	Added
234	protobuf	 	3.3.0	Added
235	psmc	 	0.6.5	Added
236	python	2.7.102	2.7.13	Updated
237	python3	3.5.0	3.6.1	Updated
238	quast	4.4.1	4.5	Updated
239	quest	 	2.4	Added
240	quicktree	 	2.0	Added
241	quorum	 	1.0.0	Added
242	r	3.3.01	3.4.01	Updated
243	racon	 	0.5.0	Added
244	rampart	 	0.12.2	Added
245	rapsearch2	 	2.241	Added
246	raxml	 	8.2.101	Added
247	ray	 	2.3.11	Added
248	rcorrector	 	1.0.2	Added
249	readline	6.3.8	7.0.31	Updated
250	readseq	 	2.1.30	Added
251	readsim	 	1.6	Added
252	repeatmodeler	 	1.0.81	Added
253	repeatscout	 	1.0.5	Added
254	rmblast	2.2.28	2.2.281	Updated
255	rna-star	 	2.5.3a	Added
256	ruby	 	2.4.11	Added
257	sailfish	0.7.6	0.10.11	Updated
258	salmon	0.4.2	0.7.2	Updated
259	sambamba	 	0.6.6	Added
260	samblaster	 	0.1.24	Added
261	samtools	1.2	1.4.1	Updated
262	scarpa	 	0.241	Added
263	scipy	0.17.11	0.19.01	Updated
264	sdsl-lite	 	2.1.1	Added
265	seqan	1.4.2	2.3.2	Updated
266	seqtk	77	1.2	Updated
267	sequel	 	1.0.2	Added
268	sga	 	0.10.141	Added
269	simulate-pcr	 	1.2	Added
270	skewer	0.1.124	0.2.2	Updated
271	smalt	0.7.6	0.7.61	Updated
272	snoscan	 	0.9b	Added
273	snp-sites	 	2.3.2	Added
274	snpeff	4.1l2	4.3i	Updated
275	soapdenovo	 	2.04.r2401	Added
276	sortmerna	 	2.1	Added
277	spaced	 	201608041	Added
278	spades	3.6.0	3.10.11	Updated
279	sqlite	3.8.11.1	3.19.3	Updated
280	sratoolkit	2.5.4	2.8.2-11	Updated
281	ssake	3.8.2	3.8.4	Updated
282	stacks	1.28	1.46	Updated
283	stringtie	1.0.4	1.3.3b	Updated
284	superlu	 	5.2.12	Added
285	swarm	 	2.1.13	Added
286	swi-prolog	 	7.4.2	Added
287	swig	3.0.8	 	Removed
288	tagdust	 	2.33	Added
289	tasr	1.5.1	1.6.2	Updated
290	tbb	4.3-20150611	2017U7	Updated
291	tbl2asn	24.3	25.3	Updated
292	tcsh	 	6.20.001	Added
293	texinfo	6.0	 	Removed
294	tophat	2.1.12	2.1.14	Updated
295	trans-abyss	 	1.5.5	Added
296	transdecoder	 	3.0.1	Added
297	transrate-tools	 	1.0.0.beta4	Added
298	trimmomatic	0.33	0.36	Updated
299	trinity	 	2.4.01	Added
300	trnascan	 	1.23	Added
301	unzip	6.0	6.03	Updated
302	uproc	1.1.2	1.2.0	Updated
303	util-linux	 	2.29	Added
304	varscan	2.3.7	2.4.3	Updated
305	vcflib	1.0.0	1.0.01	Updated
306	vcftools	0.1.13	0.1.141	Updated
307	viennarna	2.1.9	2.3.3	Updated
308	vim	 	8.0.0636	Added
309	vsearch	 	2.4.3	Added
310	vt	 	0.5772	Added
311	weblogo	 	2.8.2	Added
312	webp	 	0.6.0	Added
313	wget	 	1.19.11	Added
314	wiggletools	 	1.2.2	Added
315	xorg	20160314	20170115	Updated
316	xorg-protocols	latest	20170115	Updated
317	xproto	7.0.28	7.0.31	Updated
318	xz	5.2.2	5.2.3	Updated
319	zlib	1.2.8	1.2.11	Updated
